mid,m_id,name,UATYPE,m_pop,m_house_unit,m_land,m_water,m_lat_d,m_long_d,m_lat_r,m_long_r
m23959,23959,"DeWitt, AR Urban Cluster",C,3185,1494,2.192,0.0,34.290293,-91.338117,0.5984785143235639,-1.5941508742218056
m23986,23986,"De Witt, IA Urban Cluster",C,4639,2016,2.12,0.0,41.82412,-90.546675,0.7299686007492108,-1.5803376054832365
m24013,24013,"Dexter, MO Urban Cluster",C,9053,4192,5.831,0.012,36.792409,-89.968991,0.6421486767903943,-1.5702551176471458
m24040,24040,"Diamondhead, MS Urban Cluster",C,7855,4069,5.359,0.054,30.394946,-89.364271,0.5304918836658804,-1.5597007625944856
m24067,24067,"Diboll, TX Urban Cluster",C,4461,1421,3.008,0.04,31.190929,-94.781829,0.5443844078057825,-1.6542549871122443
m24094,24094,"Dickinson, ND Urban Cluster",C,17586,7761,7.556,0.011,46.885456,-102.786789,0.8183055784989305,-1.7939678956026899
m24121,24121,"Dickson, TN Urban Cluster",C,16016,7004,17.205,0.059,36.060256,-87.363885,0.6293701963120404,-1.524787440583686
m24148,24148,"Dilley, TX Urban Cluster",C,3938,1137,1.989,0.0,28.669807,-99.177396,0.5003825280613179,-1.730972103754254
m24175,24175,"Dillon, MT Urban Cluster",C,4609,2147,2.26,0.0,45.227484,-112.630972,0.789368508193055,-1.9657813011215428
m24202,24202,"Dillon, SC Urban Cluster",C,9777,4160,7.166,0.018,34.41733,-79.359693,0.60069572824542,-1.3850879362218962
m24229,24229,"Dimmitt, TX Urban Cluster",C,4373,1656,1.992,0.041,34.548219,-102.317203,0.6029801722500628,-1.7857720737814198
m24256,24256,"Discovery Bay, CA Urban Cluster",C,14044,5652,4.712,0.492,37.902207,-121.611672,0.6615183059224423,-2.1225240852553977
m24283,24283,"Dixon, CA Urban Cluster",C,18445,6209,6.221,0.003,38.444983,-121.834573,0.6709915342232471,-2.1264144416113853
m24310,24310,"Dixon, IL Urban Cluster",C,16858,6792,9.855,0.362,41.852951,-89.481744,0.7304717966258533,-1.561751053226681
m24329,24329,"Dodge Center, MN Urban Cluster",C,2641,1048,1.54,0.0,44.030103,-92.855092,0.7684702673422328,-1.6206270826422464
m24337,24337,"Dodge City, KS Urban Cluster",C,27316,9290,10.768,0.105,37.756788,-100.011964,0.6589802655774848,-1.7455380631860382
m24364,24364,"Dodgeville, WI Urban Cluster",C,4756,2123,3.053,0.0,42.965515,-90.130641,0.7498897015650114,-1.5730764423829944
m24391,24391,"Donaldsonville, LA Urban Cluster",C,14571,5635,15.952,0.971,30.072545,-90.923196,0.5248649247041581,-1.586909136636138
m24418,24418,"Donalsonville, GA Urban Cluster",C,2745,1222,2.936,0.046,31.04095,-84.874312,0.5417667804469338,-1.4813361947649335
m24433,24433,"Dorr, MI Urban Cluster",C,4702,1600,5.487,0.011,42.718041,-85.734434,0.745570465451931,-1.4963481556337719
m24445,24445,"Dos Palos, CA Urban Cluster",C,6713,2228,2.126,0.0,36.978164,-120.633707,0.6453907131424365,-2.105455376036131
m24472,24472,"Dothan, AL Urbanized Area",U,68781,30681,55.501,0.119,31.22612,-85.425301,0.5449986066228518,-1.4909527669572047
m24499,24499,"Douglas, AZ Urban Cluster",C,17673,6450,5.675,0.0,31.350384,-109.543245,0.5471674225645499,-1.9118902985688158
m24526,24526,"Douglas, GA Urban Cluster",C,14154,6006,11.996,0.21,31.511685,-82.84868,0.5499826561013093,-1.4459822469311756
m24539,24539,"Douglas, MI Urban Cluster",C,2570,2102,2.827,0.05,42.649199,-86.198443,0.7443689458882732,-1.5044466404426584
m24553,24553,"Douglas, WY Urban Cluster",C,6175,2803,3.22,0.009,42.753293,-105.3831,0.746185728919844,-1.8392820709584363
m24580,24580,"Dover, DE Urbanized Area",U,110769,43144,74.029,0.879,39.147328,-75.543831,0.6832497669581667,-1.3184885805201603
m24607,24607,"Dover--Rochester, NH--ME Urbanized Area",U,88087,36466,66.425,2.134,43.226307,-70.899627,0.7544413806278725,-1.2374319295858696
m24634,24634,"Dowagiac, MI Urban Cluster",C,6082,2772,3.487,0.034,41.982547,-86.108166,0.7327336735232678,-1.5028710095538356
m24646,24646,"Downs, IL Urban Cluster",C,2666,948,2.169,0.001,40.411366,-88.887691,0.7053113919284908,-1.551382872445331
m24688,24688,"Dryden, NY Urban Cluster",C,3882,1621,3.953,0.019,42.475045,-76.293878,0.7413293851827549,-1.3315793702148664
m24715,24715,"Dublin, GA Urban Cluster",C,20999,9212,22.442,0.21,32.53722,-82.919988,0.5678816184457494,-1.447226806314188
m24769,24769,"Dublin, TX Urban Cluster",C,3543,1508,2.193,0.0,32.088665,-98.342338,0.5600528568194663,-1.7163975922091352
m24796,24796,"DuBois, PA Urban Cluster",C,11898,5597,6.796,0.054,41.11929,-78.76262,0.7176669965823791,-1.3746670464971362
m24823,24823,"Dubuque, IA--IL Urbanized Area",U,67818,29024,33.79,0.335,42.506228,-90.691052,0.7418736312034042,-1.5828574594973883
m24850,24850,"Duluth, MN--WI Urbanized Area",U,120378,53537,70.477,8.732,46.765574,-92.12902,0.8162132428850547,-1.6079547356357062
m24877,24877,"Dumas, AR Urban Cluster",C,5023,2254,3.055,0.0,33.884793,-91.486833,0.591401204206727,-1.5967464580722015
m24904,24904,"Dumas, TX Urban Cluster",C,14836,5410,5.663,0.0,35.868372,-101.965714,0.6260211887301436,-1.7796374334468776
m24931,24931,"Duncan, OK Urban Cluster",C,21301,9979,11.751,0.06,34.515253,-97.962302,0.6024048070088504,-1.709764712733026
m24958,24958,"Dundee, MI Urban Cluster",C,3799,1684,2.482,0.035,41.95782,-83.660254,0.7323021059591271,-1.4601468853547561
m24985,24985,"Dunkirk, IN Urban Cluster",C,3564,1721,2.066,0.0,40.363795,-85.184488,0.7044811213500246,-1.4867497872255995
m25012,25012,"Dunkirk--Fredonia, NY Urban Cluster",C,25514,11139,14.02,0.013,42.460506,-79.339732,0.7410756317628074,-1.3847395510499056
m25025,25025,"Dunlap, TN Urban Cluster",C,3691,1571,4.382,0.0,35.377171,-85.388175,0.6174481139910548,-1.4903047960191091
m25039,25039,"Dunn, NC Urban Cluster",C,14823,6856,11.214,0.014,35.317577,-78.637937,0.6164080024766213,-1.372490917625872
m25093,25093,"Du Quoin, IL Urban Cluster",C,6467,3105,4.496,0.071,38.017557,-89.232631,0.6635315432146177,-1.55740321116716
m25120,25120,"Durand, MI Urban Cluster",C,4854,2192,3.251,0.005,42.907955,-83.985164,0.7488850900475635,-1.4658176346274108
m25147,25147,"Durango, CO Urban Cluster",C,17982,8369,9.333,0.033,37.289287,-107.869874,0.6508208338711188,-1.8826844650114256
m25174,25174,"Durant, MS Urban Cluster",C,2525,1112,1.47,0.0,33.079138,-89.856737,0.577339871821572,-1.5682959157486118
m25201,25201,"Durant, OK Urban Cluster",C,16402,7329,10.136,0.014,33.999943,-96.393378,0.5934109508403985,-1.6823818232194665
m25228,25228,"Durham, NC Urbanized Area",U,347602,152577,181.743,1.521,35.980955,-78.947743,0.6279861327619163,-1.3778980523683058
m25255,25255,"Dwight, IL Urban Cluster",C,5353,1860,3.382,0.0,41.095206,-88.435536,0.7172466514853287,-1.543491278965976
m25282,25282,"Dyer, TN Urban Cluster",C,3248,1483,2.572,0.0,36.074642,-89.004537,0.6296212793782322,-1.5534222198631162
m25309,25309,"Dyersburg, TN Urban Cluster",C,21903,9751,16.411,0.102,36.06071,-89.358888,0.6293781201068444,-1.5596068115208506
m25336,25336,"Dyersville, IA Urban Cluster",C,3620,1665,2.589,0.0,42.48004,-91.117288,0.7414165643788919,-1.590296681087919
m25363,25363,"Eagar, AZ Urban Cluster",C,6095,2617,6.22,0.004,34.114155,-109.284576,0.5954043262856861,-1.9073756728459748
m25390,25390,"Eagle, CO Urban Cluster",C,6073,2253,2.456,0.017,39.644582,-106.826256,0.6919284864768787,-1.8644698947783476
m25417,25417,"Eagle Grove, IA Urban Cluster",C,3076,1379,1.38,0.0,42.664604,-93.90382,0.7446378138595428,-1.6389308392001014
m25444,25444,"Eagle Lake, TX Urban Cluster",C,3628,1508,2.125,0.004,29.586844,-96.331945,0.5163878430739292,-1.681309615100089
m25480,25480,"Eagle Mountain South, UT Urban Cluster",C,6277,1564,1.909,0.0,40.308012,-112.00677,0.7035075243333845,-1.9548869210240092
m25498,25498,"Eagle Pass, TX Urban Cluster",C,49236,15814,19.942,0.248,28.70171,-100.471172,0.5009393404525817,-1.7535527547375362
m25579,25579,"Earlimart, CA Urban Cluster",C,13211,3277,5.033,0.0,35.923815,-119.278771,0.6269888516273268,-2.0818072816823294
m25598,25598,"East Aurora, NY Urban Cluster",C,9841,4223,8.581,0.024,42.779875,-78.598786,0.7466496723416092,-1.3718076037704239
m25660,25660,"Eastland, TX Urban Cluster",C,3711,1690,1.636,0.0,32.398199,-98.825386,0.5654552442663343,-1.7248283702543088
m25687,25687,"East Liverpool, OH--WV--PA Urban Cluster",C,31564,15148,24.295,1.181,40.642714,-80.568113,0.7093491762463946,-1.406178843968846
m25714,25714,"Eastman, GA Urban Cluster",C,6053,2689,5.643,0.052,32.194206,-83.177141,0.5618948947653136,-1.4517149728455687
m25741,25741,"Easton, MD Urban Cluster",C,17132,8013,9.598,0.081,38.768144,-76.066601,0.6766317576872846,-1.3276126382508113
m25768,25768,"East Palestine, OH Urban Cluster",C,4944,2224,3.259,0.0,40.838975,-80.541662,0.7127745768896512,-1.405717186928401
m25795,25795,"East Prairie, MO Urban Cluster",C,3770,1675,2.028,0.0,36.775651,-89.383252,0.6418561945143453,-1.5600320435398065
m25802,25802,"East Prospect, PA Urban Cluster",C,2575,1010,2.416,0.0,39.952124,-76.506388,0.697296106965047,-1.3352883694082793
m25813,25813,"East Quincy, CA Urban Cluster",C,2674,1287,2.233,0.0,39.948709,-120.940941,0.6972365039710914,-2.110817620910203
m25849,25849,"East Stroudsburg, PA--NJ Urbanized Area",U,54316,21836,52.1,0.487,41.022688,-75.213377,0.7159809736183677,-1.312721070193775
m25876,25876,"East Tawas, MI Urban Cluster",C,4372,2631,3.15,0.0,44.284562,-83.492975,0.7729114147035652,-1.4572273160353124
m25903,25903,"East Troy, WI Urban Cluster",C,4306,1814,2.437,0.0,42.790992,-88.403791,0.7468437005945534,-1.5429372241949304
m25930,25930,"Eaton, CO Urban Cluster",C,4392,1717,1.504,0.0,40.529411,-104.71384,0.7073716658440076,-1.8276012804065391
m25957,25957,"Eaton, OH Urban Cluster",C,8112,3763,3.912,0.007,39.748358,-84.635603,0.6937397193614283,-1.4771699367607904
m25984,25984,"Eaton Rapids, MI Urban Cluster",C,5408,2458,3.99,0.12,42.505596,-84.65451,0.7418626007225316,-1.4774999261624648
m26011,26011,"Eatonton, GA Urban Cluster",C,3889,1753,3.321,0.0,33.328586,-83.388097,0.5816935607340868,-1.455396849622406
m26024,26024,"Eatonville, WA Urban Cluster",C,2801,1117,1.573,0.005,46.868226,-122.270205,0.8180048582688119,-2.1340176543384333
m26038,26038,"Eau Claire, WI Urbanized Area",U,102852,44530,68.999,4.764,44.860855,-91.447201,0.7829696250097608,-1.5960547491830512
m26065,26065,"Ebensburg, PA Urban Cluster",C,4914,2361,2.842,0.036,40.484465,-78.733571,0.7065872101584062,-1.3741600458027243
m26092,26092,"Eden, NC Urban Cluster",C,17187,8570,17.892,0.153,36.502122,-79.744547,0.6370822128646576,-1.3918049056613664
m26119,26119,"Edenton, NC Urban Cluster",C,4790,2389,3.064,0.068,36.065841,-76.613077,0.6294676729507642,-1.3371504437339399
m26146,26146,"Edgefield, SC Urban Cluster",C,4562,1137,2.73,0.018,33.785197,-81.925195,0.5896629260849106,-1.4298643930883959
m26173,26173,"Edgerton, WI Urban Cluster",C,7208,3369,5.156,0.187,42.839096,-89.05567,0.7476832737779326,-1.5543146590695387
m26200,26200,"Edgewood, NM Urban Cluster",C,3506,1465,5.396,0.0,35.068313,-106.183534,0.6120575249699303,-1.8532522797033446
m26227,26227,"Edinboro, PA Urban Cluster",C,7263,2716,2.796,0.074,41.876696,-80.129846,0.7308862250567393,-1.398529641816008
m26254,26254,"Edna, TX Urban Cluster",C,5374,2452,3.368,0.0,28.975111,-96.650065,0.5057110880808267,-1.6868618565165334
m26275,26275,"Edwards, CO Urban Cluster",C,17326,8473,8.499,0.156,39.644737,-106.564801,0.6919311917372192,-1.859906644182546
m26308,26308,"Effingham, IL Urban Cluster",C,13800,6238,8.562,0.029,39.120894,-88.540198,0.6827884066236946,-1.5453179754676984
m26345,26345,"Eielson AFB, AK Urban Cluster",C,2944,1019,6.23,0.235,64.666431,-147.097017,1.1286421364637291,-2.5673272665120717
m26362,26362,"Elberton, GA Urban Cluster",C,5925,2925,5.232,0.016,34.110801,-82.869997,0.5953457879425743,-1.4463542987678233
m26389,26389,"El Campo, TX Urban Cluster",C,11719,4498,6.256,0.008,29.198508,-96.276623,0.5096101012699045,-1.6803440640513005
m26416,26416,"El Centro--Calexico, CA Urbanized Area",U,107672,33162,29.996,0.018,32.769055,-115.546349,0.5719279025171105,-2.0166642287084575
m26443,26443,"Eldon, MO Urban Cluster",C,4555,2229,2.662,0.0,38.351041,-92.577313,0.6693519370173386,-1.615778924499349
m26470,26470,"El Dorado, AR Urban Cluster",C,18944,8830,15.162,0.0,33.208573,-92.662964,0.5795989387388909,-1.6172738164569749
m26497,26497,"Eldorado, IL Urban Cluster",C,4572,2265,3.652,0.015,37.815688,-88.439956,0.6600082645069095,-1.5435684225189141
m26524,26524,"El Dorado, KS Urban Cluster",C,14724,5997,9.047,0.005,37.815099,-96.851849,0.659997984517615,-1.6903836516943775
m26551,26551,"Eldorado at Santa Fe, NM Urban Cluster",C,4372,2190,7.303,0.0,35.5371,-105.92963,0.6202394016104769,-1.848820818919361
m26578,26578,"El Dorado Springs, MO Urban Cluster",C,3454,1852,1.912,0.001,37.869789,-94.023114,0.6609525050855308,-1.641012912277976
m26632,26632,"Electra, TX Urban Cluster",C,2746,1397,1.656,0.0,34.030758,-98.919085,0.5939487740494004,-1.726463726310135
m26659,26659,"Elgin, TX Urban Cluster",C,10043,3564,4.763,0.0,30.349496,-97.379103,0.529698631520849,-1.699585969988688
m26686,26686,"Elizabeth City, NC Urban Cluster",C,23905,10258,16.978,0.0,36.29665,-76.233308,0.6334960499439999,-1.3305222242869332
m26713,26713,"Elizabethtown, NC Urban Cluster",C,3085,1581,2.511,0.0,34.625681,-78.617108,0.6043321391952426,-1.3721273829959741
m26750,26750,"Elizabethtown--Radcliff, KY Urbanized Area",U,73467,30547,56.958,0.507,37.788405,-85.92103,0.6595320863270877,-1.4996048702048235
m26767,26767,"Elk City, OK Urban Cluster",C,10855,5014,6.447,0.0,35.406822,-99.413339,0.6179656215675637,-1.7350900859512868
m26794,26794,"Elkhart, IN--MI Urbanized Area",U,143592,58631,91.864,2.914,41.658247,-85.926438,0.7270735707590502,-1.4996992576107715
m26821,26821,"Elkhorn, WI Urban Cluster",C,12484,4987,10.284,0.066,42.692353,-88.538182,0.7451221252736787,-1.5452827896299781
m26848,26848,"Elkin, NC Urban Cluster",C,6521,3206,6.657,0.026,36.248754,-80.852281,0.6326601070454646,-1.4111385111976533
m26875,26875,"Elkins, WV Urban Cluster",C,11061,5164,6.121,0.0,38.934469,-79.846002,0.6795346765656641,-1.3935756294539774
m26902,26902,"Elko, NV Urban Cluster",C,18948,7420,10.26,0.0,40.836776,-115.772819,0.7127361970994,-2.020616875865449
m26912,26912,"Elko New Market, MN Urban Cluster",C,3908,1240,2.283,0.0,44.566013,-93.333923,0.7778236613365955,-1.6289842601528635
m26956,26956,"Elkton, VA Urban Cluster",C,3657,1703,3.148,0.02,38.40456,-78.628839,0.6702860197797134,-1.3723321275705256
m26983,26983,"Ellensburg, WA Urban Cluster",C,20987,8933,8.853,0.004,47.001313,-120.536084,0.8203276646104137,-2.1037515332604566
m27010,27010,"Ellenville, NY Urban Cluster",C,6577,2566,3.18,0.005,41.730534,-74.387755,0.7283352169154393,-1.2983112479168746
m27037,27037,"Ellijay, GA Urban Cluster",C,3496,1613,5.065,0.0,34.683566,-84.486367,0.6053424230327596,-1.474565277198284
m27064,27064,"Ellsworth, KS Urban Cluster",C,2982,1075,1.308,0.0,38.733878,-98.227915,0.676033703165796,-1.7144005341191255
m27070,27070,"Ellsworth, ME Urban Cluster",C,2805,1431,2.79,0.035,44.538621,-68.427748,0.7773455807478893,-1.1942895023249647
m27076,27076,"Ellsworth, WI Urban Cluster",C,2823,1247,2.298,0.0,44.733436,-92.482438,0.780745743930162,-1.6141230433715197
m27085,27085,"Ellwood City, PA Urban Cluster",C,13006,6133,6.177,0.192,40.853149,-80.268213,0.713021959857829,-1.4009446015421152
m27118,27118,"Elmira, NY Urbanized Area",U,67983,29507,37.799,0.52,42.071566,-76.809034,0.7342873481701006,-1.3405705385762703
m27172,27172,"Elmwood, IL Urban Cluster",C,2660,1145,1.78,0.0,40.779891,-89.980505,0.711743366554403,-1.5704560748572203
m27199,27199,"Eloy, AZ Urban Cluster",C,6963,2528,3.072,0.003,32.750881,-111.562575,0.571610706378853,-1.9471342557531128
m27226,27226,"El Paso, IL Urban Cluster",C,2776,1101,1.6,0.0,40.740008,-89.014591,0.7110472768888301,-1.5535976952661117
m27253,27253,"El Paso, TX--NM Urbanized Area",U,803086,270231,250.571,1.303,31.780239,-106.389031,0.5546698076207102,-1.8568388789563153
m27261,27261,"El Paso de Robles (Paso Robles)--Atascadero, CA Urbanized Area",U,65088,25479,31.444,0.291,35.453503,-120.633813,0.6187803587156872,-2.1054572260851385
m27280,27280,"El Reno, OK Urban Cluster",C,15069,5966,7.134,0.001,35.522928,-97.958573,0.6199920535488843,-1.7096996294052194
m27290,27290,"Elroy, TX Urban Cluster",C,3708,1049,4.363,0.0,30.128208,-97.592667,0.5258364273256958,-1.703313364952417
m27300,27300,"Elverson, PA Urban Cluster",C,3697,1523,2.834,0.011,40.154243,-75.861817,0.7008237489958854,-1.324038483195407
m27307,27307,"Elwood, IN Urban Cluster",C,9421,4465,5.194,0.0,40.274226,-85.839502,0.7029178473923058,-1.4981819381722574
m27334,27334,"Ely, MN Urban Cluster",C,3459,2020,2.708,0.005,47.905099,-91.853013,0.8361017060438432,-1.6031375047271543
m27361,27361,"Ely, NV Urban Cluster",C,4681,2331,2.546,0.0,39.248049,-114.874543,0.6850076800340679,-2.0049390020738045
m27372,27372,"Emajagua, PR Urban Cluster",C,9231,4129,5.502,0.001,18.010847,-65.911531,0.3143485812229431,-1.1503732309803105
m27380,27380,"Emerald Bay, TX Urban Cluster",C,3182,1716,4.395,0.129,32.150903,-95.43283,0.5611391148393224,-1.66561709799602
m27442,27442,"Emmetsburg, IA Urban Cluster",C,3628,1715,1.875,0.0,43.113791,-94.683238,0.7524776059666985,-1.6525342495494109
m27469,27469,"Emmett, ID Urban Cluster",C,9192,3995,5.65,0.038,43.877758,-116.487409,0.7658113454932821,-2.0330888241672755
m27496,27496,"Emmitsburg, MD--PA Urban Cluster",C,6366,2164,5.167,0.008,39.723091,-77.36066,0.6932987270193268,-1.3501982285158765
m27523,27523,"Emporia, KS Urban Cluster",C,24830,11323,11.089,0.196,38.4114,-96.19078,0.67040540030055,-1.6788458210615114
m27550,27550,"Emporia, VA Urban Cluster",C,7143,2990,5.773,0.014,36.698482,-77.545666,0.6405093413838736,-1.353427192351821
m27577,27577,"Emporium, PA Urban Cluster",C,2677,1431,1.364,0.085,41.510952,-78.240839,0.7245027880373253,-1.3655602500727875
m27592,27592,"Enfield, NC Urban Cluster",C,2672,1189,1.326,0.0,36.179194,-77.67075,0.6314460560177774,-1.3556103199933855
m27604,27604,"England, AR Urban Cluster",C,2762,1246,1.523,0.0,34.546064,-91.964499,0.6029425604046824,-1.6050833024970326
m27631,27631,"Enid, OK Urban Cluster",C,47609,21075,23.995,0.012,36.401999,-97.89186,0.6353347368576834,-1.7085352679013361
m27658,27658,"Ennis, TX Urban Cluster",C,18258,6518,9.753,0.092,32.332346,-96.630807,0.5643058925940185,-1.6865257410091845
m27685,27685,"Enterprise, AL Urban Cluster",C,36427,15863,35.847,0.058,31.328419,-85.793947,0.5467840609943494,-1.4973868534315116
m27712,27712,"Ephraim, UT Urban Cluster",C,5781,1636,2.198,0.0,39.357351,-111.581381,0.6869153598130828,-1.9474624823722426
m27739,27739,"Ephrata, WA Urban Cluster",C,6956,2840,2.903,0.0,47.312647,-119.550209,0.8257614679838174,-2.0865447684973573
m27750,27750,"Epping, NH Urban Cluster",C,3490,1291,4.497,0.0,43.039743,-71.067012,0.7511852245621818,-1.2403533489543204
m27766,27766,"Erie, PA Urbanized Area",U,196611,85558,82.245,0.141,42.08554,-80.114855,0.7345312404797744,-1.3982679995078418
m27793,27793,"Erwin, TN Urban Cluster",C,9788,4556,6.492,0.045,36.143489,-82.409338,0.6308228862083528,-1.4383142824888788
m27820,27820,"Escalon, CA Urban Cluster",C,7157,2619,1.969,0.0,37.792464,-120.995505,0.6596029292414263,-2.1117699423632614
m27847,27847,"Escanaba, MI Urban Cluster",C,20850,9981,17.943,0.109,45.727457,-87.082446,0.7980946832141287,-1.519875403390166
m27874,27874,"Espanola, NM Urban Cluster",C,26418,11368,28.601,0.245,35.9869,-106.085956,0.6280898925859473,-1.8515492223258336
m27885,27885,"Esparto, CA Urban Cluster",C,3277,1063,1.632,0.0,38.695279,-122.019465,0.6753600235278189,-2.1296414157719825
m27901,27901,"Estacada, OR Urban Cluster",C,3838,1572,2.844,0.016,45.297544,-122.331858,0.7905912858670023,-2.135093702182165
m27928,27928,"Estes Park, CO Urban Cluster",C,7082,4885,7.492,0.019,40.363508,-105.518915,0.7044761122550715,-1.8416524898820326
m27955,27955,"Estherville, IA Urban Cluster",C,6192,2790,2.881,0.0,43.404042,-94.834568,0.7575434415739046,-1.655175456306454
m27991,27991,"Estrella, AZ Urban Cluster",C,11108,4197,7.288,0.0,33.328739,-112.442969,0.5816962310878423,-1.9625000297679158
m28009,28009,"Etowah, TN Urban Cluster",C,4129,2064,3.438,0.0,35.337425,-84.525157,0.6167544154265573,-1.4752422904151326
m28063,28063,"Eudora, KS Urban Cluster",C,6140,2309,2.509,0.041,38.934944,-95.097399,0.6795429668796111,-1.659762722632763
m28090,28090,"Eufaula, AL--GA Urban Cluster",C,9520,4469,7.448,0.572,31.879574,-85.141788,0.5564035304331788,-1.486004531634998
m28117,28117,"Eugene, OR Urbanized Area",U,247421,108056,86.753,0.377,44.065995,-123.076636,0.7690967009173587,-2.1480925304785834
m28144,28144,"Eunice, LA Urban Cluster",C,11940,5163,8.45,0.03,30.491126,-92.419264,0.5321705413404485,-1.6130204490698647
m28171,28171,"Eunice, NM Urban Cluster",C,2826,1222,1.144,0.0,32.43947,-103.159058,0.5661755591019249,-1.8004652153557965
m28198,28198,"Eureka, CA Urban Cluster",C,45034,19912,18.497,1.573,40.779072,-124.169497,0.711729072307829,-2.1671665531952216
m28225,28225,"Eureka, IL Urban Cluster",C,5573,2129,2.599,0.048,40.713988,-89.274949,0.7105931422174611,-1.5581417996000193
m28252,28252,"Eureka, KS Urban Cluster",C,2591,1388,1.475,0.0,37.823741,-96.290839,0.6601488158715725,-1.6805921800577643
m28262,28262,"Eureka, MO Urban Cluster",C,11260,3696,9.828,0.0,38.499469,-90.632649,0.6719424943194887,-1.5818381348543462
m28306,28306,"Evanston, WY Urban Cluster",C,12017,4983,7.006,0.035,41.26005,-110.963887,0.7201237220374863,-1.936685178960933
m28333,28333,"Evansville, IN--KY Urbanized Area",U,229351,104388,118.844,1.239,37.978539,-87.537393,0.6628505506470747,-1.5278157264622365
m28360,28360,"Evansville, WI Urban Cluster",C,5669,2313,3.081,0.0,42.777814,-89.296316,0.7466137011057256,-1.5585147241012929
m28387,28387,"Evarts, KY Urban Cluster",C,2646,1074,1.488,0.084,36.862957,-83.204407,0.6433799716710913,-1.4521908543194175
m28414,28414,"Everett, PA Urban Cluster",C,3220,1581,1.917,0.019,40.013306,-78.373013,0.6983639343080023,-1.3678671215583187
m28431,28431,"Evergreen, AL Urban Cluster",C,2520,1213,2.162,0.004,31.429395,-86.95576,0.5485464246598433,-1.5176643155739844
m28441,28441,"Evergreen, CO Urban Cluster",C,13556,5946,13.589,0.09,39.658927,-105.311387,0.6921788539580771,-1.8380304429919534
m28468,28468,"Everson, WA Urban Cluster",C,4330,1474,3.074,0.047,48.908535,-122.346098,0.853614968076885,-2.135342237067649
m28495,28495,"Excelsior Springs, MO Urban Cluster",C,10943,4713,6.955,0.053,39.344591,-94.233558,0.6866926558005283,-1.6446858529690427
m28522,28522,"Fabens, TX Urban Cluster",C,8042,2389,1.674,0.002,31.505886,-106.153246,0.5498814444579863,-1.8527236543795005
m28549,28549,"Fairbanks, AK Urbanized Area",U,64513,25869,55.122,1.696,64.846292,-147.711366,1.1317813031096589,-2.5780496793184065
m28576,28576,"Fairbury, IL Urban Cluster",C,3784,1636,1.468,0.0,40.746225,-88.512991,0.7111557840084265,-1.5448431237381082
m28603,28603,"Fairbury, NE Urban Cluster",C,3912,2133,2.01,0.0,40.142345,-97.177569,0.700616089721483,-1.6960685381339737
m28624,28624,"Fairdale, PA Urban Cluster",C,4166,1960,3.522,0.006,39.88258,-79.960841,0.69608233519004,-1.3955799481136753
m28657,28657,"Fairfield, CA Urbanized Area",U,133683,46751,39.463,0.131,38.259143,-122.036061,0.6677480143413409,-2.129931070614644
m28684,28684,"Fairfield, IL Urban Cluster",C,5039,2654,2.861,0.022,38.380462,-88.369136,0.669865430336568,-1.5423323803426516
m28711,28711,"Fairfield, IA Urban Cluster",C,10320,4535,6.888,0.134,41.009403,-91.954444,0.7157491066272401,-1.6049078096407445
m28738,28738,"Fairfield, TX Urban Cluster",C,3280,1424,4.584,0.0,31.725269,-96.16908,0.5537104001308889,-1.678467084613828
m28765,28765,"Fairfield Glade, TN Urban Cluster",C,5584,3833,6.256,0.616,36.031454,-84.87053,0.6288675065808809,-1.481270186412623
m28782,28782,"Fairfield Harbour, NC Urban Cluster",C,2726,1703,2.266,0.14,35.078938,-76.970761,0.6122429662029546,-1.343393207215643
m28819,28819,"Fair Haven, VT Urban Cluster",C,4181,1542,3.364,0.019,43.602144,-73.240217,0.7610009737286905,-1.2782829315251238
m28846,28846,"Fairmont, MN Urban Cluster",C,9578,4703,6.438,1.843,43.64005,-94.466602,0.7616625582349514,-1.6487532380710601
m28860,28860,"Fairmont, NC Urban Cluster",C,2507,1179,1.928,0.0,34.496712,-79.11605,0.6020812055122382,-1.3808355636724596
m28873,28873,"Fairmont, WV Urban Cluster",C,33409,16075,26.121,0.903,39.469497,-80.149881,0.6888726767560243,-1.398879318531645
m28900,28900,"Fairmount, IN Urban Cluster",C,2942,1342,1.321,0.0,40.416179,-85.648624,0.7053953946253892,-1.4948504886026357
m28954,28954,"Fairview, TN Urban Cluster",C,6373,2342,6.199,0.02,35.960762,-87.105576,0.6276336984260611,-1.520279098046152
m28981,28981,"Fajardo, PR Urbanized Area",U,85225,43282,50.796,0.137,18.28199,-65.712848,0.3190809193166781,-1.1469055584625707
m29008,29008,"Falfurrias, TX Urban Cluster",C,4929,2119,2.054,0.0,27.223912,-98.14697,0.4751468996731945,-1.7129877773560989
m29035,29035,"Fallon, NV Urban Cluster",C,16241,7098,14.173,0.007,39.485626,-118.797673,0.6891541809110785,-2.0734105375575695
m29062,29062,"Falls City, NE Urban Cluster",C,4133,2127,1.848,0.0,40.061258,-95.600286,0.6992008545909185,-1.6685397565482396
m29089,29089,"Fargo, ND--MN Urbanized Area",U,176676,78728,70.268,0.027,46.862422,-96.820912,0.8179035593590261,-1.6898436991836883
m29116,29116,"Faribault, MN Urban Cluster",C,23696,9099,11.405,0.23,44.294041,-93.282069,0.7730768544633616,-1.6280792371225346
